"time","LR","MR","HR"
0,14.48,20.81,26.16
12.39,16.69,21.51,30.7
46.02,14.24,22.5,30.81
71.86,18.43,22.79,30.47
107.96,16.8,25.87,37.67
123.54,7.97,14.24,23.55
130.62,7.5,12.09,24.24
143.01,10.06,14.65,22.85
165.31,11.45,16.74,23.95
183.01,3.72,8.08,20.93
190.8,2.15,7.67,17.62
203.19,2.79,9.3,16.4
228.32,4.94,11.86,25.58
243.54,1.98,6.57,22.67
252.04,1.1,6.57,17.73
264.42,3.08,8.37,20.17
286.37,4.94,9.83,21.4
303.36,4.88,11.28,22.09
310.8,2.85,7.27,19.13
323.89,1.69,8.84,19.01
345.84,3.31,11.28,19.71
360.71,4.65,10.06,19.48
